input,datamodel,fieldmapping,target
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
user_id,authentication,user,authentication:user
userId,authentication,user,authentication:user
userIdentifier,authentication,user,authentication:user
userID,authentication,user,authentication:user
userCode,authentication,user,authentication:user
userNumber,authentication,user,authentication:user
memberID,authentication,user,authentication:user
memberIdentifier,authentication,user,authentication:user
accountID,authentication,user,authentication:user
accountIdentifier,authentication,user,authentication:user
customerID,authentication,user,authentication:user
customerIdentifier,authentication,user,authentication:user
userKey,authentication,user,authentication:user
userTag,authentication,user,authentication:user
userProfileID,authentication,user,authentication:user
userRef,authentication,user,authentication:user
identityID,authentication,user,authentication:user
identityNumber,authentication,user,authentication:user
subscriberID,authentication,user,authentication:user
participantID,authentication,user,authentication:user
clientID,authentication,user,authentication:user
clientIdentifier,authentication,user,authentication:user
userIndex,authentication,user,authentication:user
personID,authentication,user,authentication:user
personIdentifier,authentication,user,authentication:user
individualID,authentication,user,authentication:user
individualIdentifier,authentication,user,authentication:user
memberCode,authentication,user,authentication:user
accountNumber,authentication,user,authentication:user
customerNumber,authentication,user,authentication:user
clientCode,authentication,user,authentication:user
subscriberNumber,authentication,user,authentication:user
participantNumber,authentication,user,authentication:user
personCode,authentication,user,authentication:user
individualCode,authentication,user,authentication:user
userUniqueID,authentication,user,authentication:user
userSerial,authentication,user,authentication:user
userUniqueId,authentication,user,authentication:user
userSerialNumber,authentication,user,authentication:user
memberUniqueId,authentication,user,authentication:user
accountUniqueId,authentication,user,authentication:user
customerUniqueId,authentication,user,authentication:user
clientUniqueId,authentication,user,authentication:user
subscriberUniqueId,authentication,user,authentication:user
participantUniqueId,authentication,user,authentication:user
personUniqueId,authentication,user,authentication:user
individualUniqueId,authentication,user,authentication:user
userGUID,authentication,user,authentication:user
memberGUID,authentication,user,authentication:user
accountGUID,authentication,user,authentication:user
customerGUID,authentication,user,authentication:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userID,data_access,user,data_access:user
userId,data_access,user,data_access:user
userIdentifier,data_access,user,data_access:user
userID,data_access,user,data_access:user
userCode,data_access,user,data_access:user
userNumber,data_access,user,data_access:user
memberID,data_access,user,data_access:user
memberIdentifier,data_access,user,data_access:user
accountID,data_access,user,data_access:user
accountIdentifier,data_access,user,data_access:user
customerID,data_access,user,data_access:user
customerIdentifier,data_access,user,data_access:user
userKey,data_access,user,data_access:user
userTag,data_access,user,data_access:user
userProfileID,data_access,user,data_access:user
userRef,data_access,user,data_access:user
identityID,data_access,user,data_access:user
identityNumber,data_access,user,data_access:user
subscriberID,data_access,user,data_access:user
participantID,data_access,user,data_access:user
clientID,data_access,user,data_access:user
clientIdentifier,data_access,user,data_access:user
userIndex,data_access,user,data_access:user
personID,data_access,user,data_access:user
personIdentifier,data_access,user,data_access:user
individualID,data_access,user,data_access:user
individualIdentifier,data_access,user,data_access:user
memberCode,data_access,user,data_access:user
accountNumber,data_access,user,data_access:user
customerNumber,data_access,user,data_access:user
clientCode,data_access,user,data_access:user
subscriberNumber,data_access,user,data_access:user
participantNumber,data_access,user,data_access:user
personCode,data_access,user,data_access:user
individualCode,data_access,user,data_access:user
userUniqueID,data_access,user,data_access:user
user_id,data_access,user,data_access:user
userUniqueId,data_access,user,data_access:user
userSerialNumber,data_access,user,data_access:user
memberUniqueId,data_access,user,data_access:user
accountUniqueId,data_access,user,data_access:user
customerUniqueId,data_access,user,data_access:user
clientUniqueId,data_access,user,data_access:user
subscriberUniqueId,data_access,user,data_access:user
participantUniqueId,data_access,user,data_access:user
personUniqueId,data_access,user,data_access:user
individualUniqueId,data_access,user,data_access:user
userGUID,data_access,user,data_access:user
memberGUID,data_access,user,data_access:user
accountGUID,data_access,user,data_access:user
customerGUID,data_access,user,data_access:user
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
src,authentication,src,authentication:src
source,authentication,src,authentication:src
origin,authentication,src,authentication:src
sender,authentication,src,authentication:src
originator,authentication,src,authentication:src
producer,authentication,src,authentication:src
emitter,authentication,src,authentication:src
generator,authentication,src,authentication:src
creator,authentication,src,authentication:src
source_location,authentication,src,authentication:src
starting_point,authentication,src,authentication:src
origin_site,authentication,src,authentication:src
source_code,authentication,src,authentication:src
starting_location,authentication,src,authentication:src
source_address,authentication,src,authentication:src
source_entity,authentication,src,authentication:src
source_system,authentication,src,authentication:src
source_device,authentication,src,authentication:src
source_module,authentication,src,authentication:src
source_application,authentication,src,authentication:src
source_platform,authentication,src,authentication:src
source_endpoint,authentication,src,authentication:src
source_host,authentication,src,authentication:src
source_server,authentication,src,authentication:src
source_gateway,authentication,src,authentication:src
source_router,authentication,src,authentication:src
source_client,authentication,src,authentication:src
source_user,authentication,src,authentication:src
source_account,authentication,src,authentication:src
source_event,authentication,src,authentication:src
source_log,authentication,src,authentication:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
src,data_access,src,data_access:src
source,data_access,src,data_access:src
origin,data_access,src,data_access:src
sender,data_access,src,data_access:src
originator,data_access,src,data_access:src
producer,data_access,src,data_access:src
emitter,data_access,src,data_access:src
generator,data_access,src,data_access:src
creator,data_access,src,data_access:src
source_location,data_access,src,data_access:src
starting_point,data_access,src,data_access:src
origin_site,data_access,src,data_access:src
source_code,data_access,src,data_access:src
starting_location,data_access,src,data_access:src
source_address,data_access,src,data_access:src
source_entity,data_access,src,data_access:src
source_system,data_access,src,data_access:src
source_device,data_access,src,data_access:src
source_module,data_access,src,data_access:src
source_application,data_access,src,data_access:src
source_platform,data_access,src,data_access:src
source_endpoint,data_access,src,data_access:src
source_host,data_access,src,data_access:src
source_server,data_access,src,data_access:src
source_gateway,data_access,src,data_access:src
source_router,data_access,src,data_access:src
source_client,data_access,src,data_access:src
source_user,data_access,src,data_access:src
source_account,data_access,src,data_access:src
source_event,data_access,src,data_access:src
source_log,data_access,src,data_access:src
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
act,authentication,action,authentication:action
transaction,authentication,action,authentication:action
action,authentication,action,authentication:action
task,authentication,action,authentication:action
process,authentication,action,authentication:action
event,authentication,action,authentication:action
activity,authentication,action,authentication:action
job,authentication,action,authentication:action
operation,authentication,action,authentication:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
transaction,data_access,action,data_access:action
action,data_access,action,data_access:action
task,data_access,action,data_access:action
process,data_access,action,data_access:action
event,data_access,action,data_access:action
activity,data_access,action,data_access:action
job,data_access,action,data_access:action
operation,data_access,action,data_access:action
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
entity,data_access,object,data_access:object
artifact,data_access,object,data_access:object
content,data_access,object,data_access:object
item,data_access,object,data_access:object
object,data_access,object,data_access:object
topic,data_access,object,data_access:object
target,data_access,object,data_access:object
unit,data_access,object,data_access:object
subject_entity,data_access,object,data_access:object
